UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,1 ,2,"R",405741,"R",153694,"R",98,"R",2728,"R",38355,"R",1152,"R",132370,"R",409621,"R",324517,"R",734138,"R",472,"R",180058,"R",180530,1,"R",1344,"R",154,"R",0,"R",1101086,1,"R",382813,"R",320513,"R",1209531,"R",1650,"R",1531694,"R",9400,"R",40600,"R",50000,"R",3065593,2682780
100663,1 ,2,"R",995899,"R",487487,"R",441,"R",136783,"R",16455,"R",27637,"R",84226,"R",1160319,"R",588609,"R",1748928,"R",16490,"R",196276,"R",212766,1,"R",19050,"R",8507,"R",1,"R",3539844,1,"R",1110989,"R",337220,"R",6039730,"R",231809,"R",6608759,"R",14002,"R",989585,"R",1003587,"R",12263179,11152190
100690,1 ,2,"R",49960,"R",161,"R",69,"Z",0,"Z",0,"R",1218,"Z",0,"R",51178,"R",230,"R",51408,"R",79,"R",5085,"R",5164,1,"R",0,"R",297,"R",0,"R",75876,2,"Z",0,"R",4706,"R",54134,"R",1477,"R",60317,"R",458,"R",5660,"R",6118,"R",142311,142311
100706,1 ,2,"R",204617,"R",489255,"R",195,"R",14426,"R",2168,"R",1445,"R",63237,"R",220488,"R",554855,"R",775343,"R",5281,"R",17501,"R",22782,1,"R",3871,"R",2640,"R",0,"R",1225696,2,"Z",0,"R",14150,"R",1429589,"R",46366,"R",1490105,"R",3302,"R",111713,"R",115015,"R",2830816,2830816
100724,1 ,2,"R",310672,"R",69823,"R",192,"R",44607,"R",0,"R",1607,"R",6470,"R",356886,"R",76485,"R",433371,"R",5771,"R",1516,"R",7287,1,"R",545,"R",104,"R",0,"R",1456895,1,"R",412299,"R",29500,"R",469993,"R",0,"R",499493,"R",0,"R",267567,"R",267567,"R",2636254,2223955
100751,1 ,2,"R",1981210,"R",1826865,"R",590,"R",194340,"R",162052,"R",136611,"R",204022,"R",2312161,"R",2193529,"R",4505690,"R",58245,"R",595782,"R",654027,1,"R",17011,"R",10386,"R",6,"R",7568092,2,"Z",0,"R",1085716,"R",9871713,"R",662573,"R",11620002,"R",65,"R",2587176,"R",2587241,"R",21775335,21775335
100760,1 ,2,"R",27279,"R",8656,"R",3,"R",422,"R",0,"R",0,"R",0,"R",27701,"R",8659,"R",36360,"R",1462,"R",288,"R",1750,1,"R",0,"R",0,"R",2,"R",215921,1,"R",69413,"R",6000,"R",29390,"R",0,"R",35390,"R",0,"R",4200,"R",4200,"R",324924,255511
100812,1 ,2,"R",81552,"R",297016,"R",117,"R",551,"R",1439,"R",80,"R",45556,"R",82183,"R",344128,"R",426311,"R",4083,"R",9841,"R",13924,1,"R",232,"R",135,"R",0,"R",542602,1,"R",197950,"R",24916,"R",196790,"R",730,"R",222436,"R",0,"R",17705,"R",17705,"R",980693,782743
100830,1 ,2,"R",632622,"R",716665,"R",155,"R",4479,"R",148,"R",925,"R",64021,"R",638026,"R",780989,"R",1419015,"R",7368,"R",7484,"R",14852,1,"R",954,"R",1370,"R",0,"R",983062,1,"R",317184,"R",51899,"R",381157,"R",75209,"R",508265,"R",100,"R",120523,"R",120623,"R",1929134,1611950
100858,1 ,2,"R",1603837,"R",1107767,"R",254,"R",608369,"R",22175,"R",76733,"R",118657,"R",2288939,"R",1248853,"R",3537792,"R",43647,"R",315780,"R",359427,1,"R",30703,"R",7911,"R",2,"R",4866578,1,"R",1443521,"R",736113,"R",7718622,"R",35087,"R",8489822,"R",16217,"R",1852714,"R",1868931,"R",16668852,15225331
100937,1 ,2,"R",221230,"R",238930,"R",125,"R",34675,"R",89147,"R",6380,"R",45682,"R",262285,"R",373884,"R",636169,"R",4780,"R",3778,"R",8558,1,"R",676,"R",1830,"R",0,"R",534831,2,"Z",0,"R",34717,"R",337497,"R",5811,"R",378025,"R",1429,"R",81746,"R",83175,"R",996031,996031
101028,1 ,2,"R",33390,"R",233119,"R",102,"R",705,"R",0,"R",0,"R",0,"R",34095,"R",233221,"R",267316,"R",26,"R",80,"R",106,1,"R",64,"R",9,"R",0,"R",125138,1,"R",116778,"R",1623,"R",11371,"R",3520,"R",16514,"R",0,"R",0,"R",0,"R",258430,141652
101116,1 ,2,"R",14725,"R",394443,"R",100,"R",1490,"R",67550,"R",8,"R",121865,"R",16223,"R",583958,"R",600181,"R",275,"R",32859,"R",33134,1,"R",2,"R",1,"R",0,"R",76638,1,"R",11344,"R",1773,"R",36123,"R",3667,"R",41563,"R",0,"R",0,"R",0,"R",129545,118201
101143,1 ,2,"R",48858,"R",4,"R",5,"R",955,"R",0,"R",19,"R",0,"R",49832,"R",9,"R",49841,"R",372,"R",69534,"R",69906,1,"R",0,"R",1,"R",1,"R",116519,1,"R",55529,"R",30,"R",4953,"R",1366,"R",6349,"R",3044,"R",0,"R",3044,"R",181441,125912
101161,1 ,2,"R",136996,"R",225850,"R",86,"R",9129,"Z",0,"R",123,"Z",0,"R",146248,"R",225936,"R",372184,"R",3989,"R",771,"R",4760,1,"R",1,"R",5,"R",8,"R",802744,1,"R",279237,"R",71555,"R",80871,"R",71483,"R",223909,"R",0,"R",12395,"R",12395,"R",1318285,1039048
101189,1 ,2,"R",110955,"R",471815,"R",128,"R",2912,"R",6956,"R",5038,"R",400694,"R",118905,"R",879593,"R",998498,"R",2711,"R",5829,"R",8540,1,"R",754,"R",622,"R",4,"R",300542,2,"Z",0,"R",15682,"R",155901,"R",23050,"R",194633,"R",7000,"R",20800,"R",27800,"R",522975,522975
101240,1 ,2,"R",62691,"R",71394,"R",88,"R",3593,"R",93,"R",22,"R",7353,"R",66306,"R",78928,"R",145234,"R",2866,"R",46601,"R",49467,1,"R",37,"R",43,"R",4,"R",344294,1,"R",95357,"R",2259,"R",22097,"R",1006,"R",25362,"R",0,"R",62582,"R",62582,"R",527595,432238
101286,1 ,2,"R",28931,"R",761,"R",8,"R",901,"R",0,"R",51,"R",7,"R",29883,"R",776,"R",30659,"R",5518,"R",31043,"R",36561,1,"R",1,"R",7,"R",1,"R",279632,1,"R",70229,"R",19786,"R",23140,"R",5894,"R",48820,"R",0,"R",1771,"R",1771,"R",400452,330223
101295,1 ,2,"R",52886,"R",139272,"R",110,"R",4565,"R",27113,"R",90,"R",99929,"R",57541,"R",266424,"R",323965,"R",176,"R",16117,"R",16293,1,"R",1,"R",1,"R",1,"R",274702,1,"R",97200,"R",47843,"R",85926,"R",5976,"R",139745,"R",225,"R",1596,"R",1821,"R",513468,416268
