Text Changed,Title & Definition,Cross References,CIP Code,Action,Moved To/Report Under,Moved From
"","Accounting and Business/Management. An integrated or combined program in accounting and business administration/management that prepares individuals to function as accountants and business managers.","",="52.0305","No substantive changes","",""
"","Accounting and Computer Science. Instructional content is defined in code 30.1601.","",="30.16","No substantive changes","",""
"","Accounting and Computer Science. A program that combines accounting with computer science and/or computer studies.","",="30.1601","No substantive changes","",""
"","Accounting and Finance. An integrated or combined program in accounting and finance that prepares individuals to function as accountants and financial managers or analysts.","",="52.0304","No substantive changes","",""
"","Accounting and Related Services, Other. Any instructional program in accounting not listed above.","",="52.0399","No substantive changes","",""
"","Accounting and Related Services. Instructional content for this group of programs is defined in codes 52.0301 - 52.0399.","",="52.03","No substantive changes","",""
"","Accounting Technology/Technician and Bookkeeping. A program that prepares individuals to provide technical administrative support to professional accountants and other financial management personnel.  Includes instruction in posting transactions to accounts, record-keeping systems, accounting software operation, and general accounting principles and practices.","",="52.0302","No substantive changes","",""
"","Accounting. A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory, financial accounting, managerial accounting, cost accounting, budget control, tax accounting, legal aspects of accounting, auditing, reporting procedures, statement analysis, planning and consulting, business information systems, accounting research methods, professional standards and ethics, and applications to specific for-profit, public, and non-profit organizations.","",="52.0301","No substantive changes","",""
"","Acoustics. A program that focuses on the scientific study of sound, and the properties and behavior of acoustic wave phenomena under different conditions.  Includes instruction in wave theory, the acoustic wave equation, energy transformation, vibration phenomena, sound reflection and transmission, scattering and surface wave phenomena, singularity expansion theory, ducting, and applications to specific research problems such as underwater acoustics, crystallography, and health diagnostics.","",="40.0809","No substantive changes","",""
"","Acting. A program that prepares individuals to communicate dramatic information, ideas, moods, and feelings through the achievement of naturalistic and believable behavior in imaginary circumstances.  Includes instruction in voice and acting speech, stage dialects, movement, improvisation, acting styles, theatre history, script interpretation, and actor coaching.","",="50.0506","No substantive changes","",""
"","Actuarial Science. A program that focuses on the mathematical and statistical analysis of risk, and their applications to insurance and other business management problems.  Includes instruction in forecasting theory, quantitative and non-quantitative risk measurement methodologies, development of risk tables, secondary data analysis, and computer-assisted research methods.","",="52.1304","No substantive changes","",""
"","Acupuncture. A program that prepares individuals for the independent professional practice of acupuncture, a Chinese system of health care and healing based on the use of pulse diagnosis, acupuncture point selection, and needle insertion, as well as herbs and other Asian treatment modalities. Includes instruction in basic Western medical sciences, Asian philosophy, Chinese medical anatomy and physiology, Chinese herbs, diagnostic techniques, patient observation and communication, acupuncture points and point selection, acupuncture techniques, acupuncture treatment of disease, pain management, practice management, and professional standards and ethics.","",="51.3301","No substantive changes","",""
"","Addiction Prevention and Treatment. A program that focuses on how individuals can avoid addictive substances and behaviors; the methods by which individuals can be treated for various addictions and related behavior problems; and the knowledge and coping skills needed by relatives and associates of addicted individuals. This CIP code is not valid for IPEDS reporting.","",="34.0104","No substantive changes","",""
"","Addiction Psychiatry Residency Program. A residency training program that prepares physicians in the evaluation and treatment of individuals with alcohol, drug, or other substance-related disorders, and of individuals with the dual diagnosis of substance-related and other psychiatric disorders. Requires prior completion of a program in psychiatry. This CIP code is not valid for IPEDS reporting.","",="60.0501","New","",""
"","Administration of Special Education. A program that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents.  Includes instruction in special education theory and practice, special education program development, evaluation and assessment in special education, state and federal law and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics.","",="13.0402","No substantive changes","",""
"","Administrative Assistant and Secretarial Science, General. A program that generally prepares individuals to perform the duties of administrative assistants and/or secretaries and stenographers.  Includes instruction in business communications, principles of business law, word processing and data entry, office machines operation and maintenance, office procedures, public relations, secretarial accounting, filing systems and records management, and report preparation.","",="52.0401","No substantive changes","",""
"","Adolescent Medicine Residency Program. A residency training program that prepares physicians in the unique physical, psychological, and social characteristics of adolescents and their healthcare problems and needs. Requires prior completion of a program in family medicine, internal medicine, or pediatrics. This CIP code is not valid for IPEDS reporting.","",="60.0502","New","",""
"","Adult and Continuing Education Administration. A program  that focuses on the principles and techniques of administering programs and facilities designed to serve the basic education needs of undereducated adults, or the continuing education needs of adults seeking further or specialized instruction, and that prepares individuals to serve as administrators of such programs.  Includes instruction in adult education principles, program and facilities planning, personnel management, community and client relations, budgeting and administration, professional standards, and applicable laws and policies.","",="13.0403","No substantive changes","",""
"","Adult and Continuing Education and Teaching. A program that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills.","",="13.1201","No substantive changes","",""
"","Adult Development and Aging. A program that focuses on the characteristics of aging populations and the needs of older individuals in family and institutional settings.  Includes instruction in the biological and psychological stages of aging; the provision of dependent care; serving the social, economic, and psychological needs of aging adults; related public policy issues; and adult community resources.","",="19.0702","No substantive changes","",""
"","Adult Health Nurse/Nursing. A program that prepares registered nurses (RNs) to provide general care for adult patients.  Includes instruction in adult primary care, adult pathophysiology, clinical management of medication and treatments, patient assessment and education, patient referral, and planning adult health maintenance programs.","",="51.1603","Moved from","",""
"","Adult Health Nurse/Nursing. A program that prepares registered nurses to provide general care for adult patients.  Includes instruction in adult primary care, adult pathophysiology, clinical management of medication and treatments, patient assessment and education, patient referral, and planning adult health maintenance programs.","",="51.3803","Moved to","",""
"","Adult High School/Secondary Diploma Program. An instructional program that defines the prescribed requirements, specified by a state, province, or other jurisdiction for the completion of, and graduation from a secondary school program of academic subject matter offered for adult learners outside of the regular secondary school program.  This does not include adult compensatory education programs resulting in completion of a high school equivalency certificate or diploma. This CIP code is not valid for IPEDS reporting.","",="53.0105","No substantive changes","",""
"","Adult Literacy Tutor/Instructor. A program that prepares individuals to serve as instructors and mentors for adults in basic or functional literacy programs in school, institutional, community, and private settings.","",="13.1502","No substantive changes","",""
