UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1688,"R",1809,"R",93,"R",1401,"R",0,"R",0,"R",1401,"R",797,"R",57,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",20
100663,"R",2304,"R",3836,"R",60,"R",2245,"R",3,"R",0,"R",2242,"R",1863,"R",83,"R",54,"R",0,"R",0,"R",54,"R",32,"R",59,"R",19
100690,"R",3,"R",308,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
100706,"R",1489,"R",2376,"R",63,"R",1428,"R",0,"R",0,"R",1428,"R",1184,"R",83,"R",7,"R",0,"R",0,"R",7,"R",1,"R",14,"R",19
100724,"R",1000,"R",1175,"R",85,"R",1025,"R",0,"R",0,"R",1025,"R",628,"R",61,"R",13,"R",0,"R",0,"R",13,"R",7,"R",54,"R",15
100751,"R",6734,"R",8597,"R",78,"R",6632,"R",1,"R",0,"R",6631,"R",5764,"R",87,"R",31,"R",0,"R",0,"R",31,"R",15,"R",48,"R",20
100760,"R",328,"R",901,"R",36,"R",315,"R",0,"R",0,"R",315,"R",185,"R",59,"R",57,"R",0,"R",0,"R",57,"R",22,"R",39,"R",18
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
100830,"R",602,"R",1158,"R",52,"R",730,"R",0,"R",0,"R",730,"R",481,"R",66,"R",27,"R",0,"R",0,"R",27,"R",10,"R",37,"R",16
100858,"R",4761,"R",6071,"R",78,"R",4744,"R",10,"R",0,"R",4734,"R",4325,"R",91,"R",39,"R",0,"R",0,"R",39,"R",22,"R",56,"R",20
100937,"R",332,"R",393,"R",84,"R",328,"R",0,"R",0,"R",328,"R",262,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
101028,"R",260,"R",679,"R",38,"R",329,"R",0,"R",0,"R",329,"R",165,"R",50,"R",75,"R",0,"R",0,"R",75,"R",20,"R",27,"R",15
101116,"R",13,"R",63,"R",21,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
101143,"R",359,"R",870,"R",41,"R",317,"R",0,"R",0,"R",317,"R",197,"R",62,"R",77,"R",0,"R",0,"R",77,"R",34,"R",44,"R",19
101161,"R",1336,"R",3488,"R",38,"R",1441,"R",0,"R",0,"R",1441,"R",811,"R",56,"R",250,"R",0,"R",0,"R",250,"R",76,"R",30,"R",22
101189,"R",259,"R",814,"R",32,"R",254,"R",0,"R",0,"R",254,"R",155,"R",61,"R",19,"R",0,"R",0,"R",19,"R",7,"R",37,"R",13
101240,"R",812,"R",1795,"R",45,"R",865,"R",0,"R",0,"R",865,"R",472,"R",55,"R",212,"R",0,"R",0,"R",212,"R",114,"R",54,"R",15
101277,"A",,"A",,"A",,"R",35,"R",0,"R",0,"R",35,"R",32,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"R",21
101286,"R",687,"R",1787,"R",38,"R",659,"Z",0,"Z",0,"R",659,"R",396,"R",60,"R",261,"Z",0,"Z",0,"R",261,"R",138,"R",53,"R",16
101295,"R",967,"R",2003,"R",48,"R",934,"R",0,"R",0,"R",934,"R",593,"R",63,"R",243,"R",0,"R",0,"R",243,"R",124,"R",51,"R",17
101301,"R",242,"R",660,"R",37,"R",279,"R",0,"R",0,"R",279,"R",163,"R",58,"R",41,"R",0,"R",0,"R",41,"R",19,"R",46,"R",13
101365,"R",11,"R",164,"R",7,"R",4,"Z",0,"Z",0,"R",4,"R",1,"R",25,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",15
101435,"R",256,"R",320,"R",80,"R",248,"R",0,"R",0,"R",248,"R",153,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101453,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",6
101462,"R",74,"R",350,"R",21,"R",74,"R",0,"R",0,"R",74,"R",30,"R",41,"R",45,"R",0,"R",0,"R",45,"R",15,"R",33,"R",12
101471,"R",176,"R",248,"R",71,"R",205,"R",0,"R",0,"R",205,"R",158,"R",77,"R",69,"R",0,"R",0,"R",69,"R",41,"R",59,"R",8
101480,"R",1469,"R",2789,"R",53,"R",1060,"R",0,"R",0,"R",1060,"R",802,"R",76,"R",13,"R",0,"R",0,"R",13,"R",6,"R",46,"R",18
101505,"R",954,"R",4017,"R",24,"R",1031,"R",0,"R",0,"R",1031,"R",597,"R",58,"R",663,"R",0,"R",0,"R",663,"R",284,"R",43,"R",18
101514,"R",1214,"R",3653,"R",33,"R",1182,"R",0,"R",0,"R",1182,"R",774,"R",65,"R",920,"R",0,"R",0,"R",920,"R",390,"R",42,"R",22
101541,"R",46,"R",82,"R",56,"R",62,"Z",0,"Z",0,"R",62,"R",37,"R",60,"R",3,"Z",0,"Z",0,"R",3,"R",0,"R",0,"R",5
101569,"R",671,"R",1471,"R",46,"R",679,"R",0,"R",0,"R",679,"R",395,"R",58,"R",222,"R",0,"R",0,"R",222,"R",67,"R",30,"R",17
101587,"R",320,"R",709,"R",45,"R",413,"Z",0,"Z",0,"R",413,"R",275,"R",67,"R",2,"Z",0,"Z",0,"R",2,"R",2,"R",100,"R",14
101602,"R",399,"R",911,"R",44,"R",377,"R",0,"R",0,"R",377,"R",228,"R",60,"R",40,"R",0,"R",0,"R",40,"R",13,"R",33,"R",17
101648,"R",269,"R",291,"R",92,"R",230,"R",0,"R",0,"R",230,"R",93,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
101675,"R",304,"R",425,"R",72,"R",348,"R",0,"R",0,"R",348,"R",223,"R",64,"R",6,"R",0,"R",0,"R",6,"R",1,"R",17,"R",16
101693,"R",266,"R",360,"R",74,"R",241,"R",0,"R",0,"R",241,"R",181,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101709,"R",482,"R",694,"R",69,"R",488,"R",0,"R",0,"R",488,"R",361,"R",74,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",13
101736,"R",589,"R",1513,"R",39,"R",639,"R",0,"R",0,"R",639,"R",386,"R",60,"R",154,"R",0,"R",0,"R",154,"R",74,"R",48,"R",17
101879,"R",1020,"R",2039,"R",50,"R",987,"Z",0,"Z",0,"R",987,"R",744,"R",75,"R",18,"Z",0,"Z",0,"R",18,"R",4,"R",22,"R",16
101897,"R",434,"R",1189,"R",37,"R",474,"R",0,"R",0,"R",474,"R",334,"R",70,"R",105,"R",0,"R",0,"R",105,"R",53,"R",50,"R",18
101912,"R",299,"R",381,"R",78,"R",316,"R",0,"R",0,"R",316,"R",225,"R",71,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",11
101994,"R",59,"R",238,"R",25,"R",68,"R",0,"R",0,"R",68,"R",34,"R",50,"R",7,"R",0,"R",0,"R",7,"R",4,"R",57,"R",11
102030,"R",588,"R",1355,"R",43,"R",624,"R",0,"R",0,"R",624,"R",319,"R",51,"R",209,"R",0,"R",0,"R",209,"R",52,"R",25,"R",19
102049,"R",900,"R",990,"R",91,"R",958,"R",0,"R",0,"R",958,"R",855,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
102058,"R",50,"R",191,"R",26,"R",49,"R",0,"R",0,"R",49,"R",16,"R",33,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",13
102067,"R",789,"R",1665,"R",47,"R",757,"R",0,"R",0,"R",757,"R",497,"R",66,"R",306,"R",0,"R",0,"R",306,"R",112,"R",37,"R",19
102076,"R",577,"R",1163,"R",50,"R",449,"R",0,"R",0,"R",449,"R",279,"R",62,"R",60,"R",0,"R",0,"R",60,"R",22,"R",37,"R",20
102094,"R",1600,"R",2549,"R",63,"R",1889,"R",0,"R",0,"R",1889,"R",1400,"R",74,"R",18,"R",0,"R",0,"R",18,"R",8,"R",44,"R",17
102234,"R",292,"R",350,"R",83,"R",309,"R",0,"R",0,"R",309,"R",215,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
102270,"R",231,"R",349,"R",66,"R",144,"R",0,"R",0,"R",144,"R",91,"R",63,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",18
102298,"R",285,"R",374,"R",76,"R",275,"R",0,"R",0,"R",275,"R",177,"R",64,"R",19,"R",0,"R",0,"R",19,"R",5,"R",26,"R",20
102313,"R",332,"R",919,"R",36,"R",265,"R",0,"R",0,"R",265,"R",143,"R",54,"R",141,"R",0,"R",0,"R",141,"R",56,"R",40,"R",15
102368,"R",1395,"R",3467,"R",40,"R",1654,"R",0,"R",0,"R",1654,"R",1242,"R",75,"R",201,"R",0,"R",0,"R",201,"R",81,"R",40,"R",15
102377,"R",513,"R",607,"R",85,"R",561,"R",0,"R",0,"R",561,"R",417,"R",74,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
102395,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
102429,"R",597,"R",1721,"R",35,"R",606,"R",2,"R",0,"R",604,"R",383,"R",63,"R",144,"R",0,"R",0,"R",144,"R",77,"R",53,"R",16
102553,"R",1007,"R",2272,"R",44,"R",856,"Z",0,"Z",0,"R",856,"R",568,"R",66,"R",239,"Z",0,"Z",0,"R",239,"R",100,"R",42,"R",14
102580,"R",5,"R",11,"R",45,"R",7,"R",0,"R",0,"R",7,"R",3,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
102614,"R",539,"R",1617,"R",33,"R",398,"Z",0,"Z",0,"R",398,"R",290,"R",73,"R",47,"Z",0,"Z",0,"R",47,"R",18,"R",38,"R",10
102632,"R",109,"R",391,"R",28,"R",90,"Z",0,"Z",0,"R",90,"R",53,"R",59,"R",11,"Z",0,"Z",0,"R",11,"R",5,"R",45,"R",10
102669,"R",48,"R",135,"R",36,"R",36,"R",0,"R",0,"R",36,"R",26,"R",72,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"R",7
102711,"A",,"A",,"A",,"R",85,"R",0,"R",0,"R",85,"R",82,"R",96,"R",638,"R",0,"R",0,"R",638,"R",628,"R",98,"R",15
102845,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
103501,"A",,"A",,"A",,"R",230,"R",0,"R",0,"R",230,"R",168,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
103741,"A",,"A",,"A",,"R",50,"R",0,"Z",0,"R",50,"R",36,"R",72,"R",11,"R",0,"Z",0,"R",11,"R",5,"R",45,"R",18
103893,"A",,"A",,"A",,"R",307,"R",0,"Z",0,"R",307,"R",216,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"R",22
103945,"A",,"A",,"A",,"R",7,"R",0,"R",0,"R",7,"R",3,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
103954,"A",,"A",,"A",,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
103963,"A",,"A",,"A",,"R",111,"R",0,"R",0,"R",111,"R",60,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"R",19
104090,"A",,"A",,"A",,"R",95,"R",0,"R",0,"R",95,"R",92,"R",97,"R",46,"R",0,"R",0,"R",46,"R",16,"R",35,"R",16
104151,"R",9977,"R",13335,"R",75,"R",8809,"R",84,"R",0,"R",8725,"R",7716,"R",88,"R",52,"R",0,"R",0,"R",52,"R",21,"R",40,"R",20
104160,"R",627,"R",2359,"R",27,"R",762,"R",0,"R",0,"R",762,"R",485,"R",64,"R",1323,"R",0,"R",0,"R",1323,"R",643,"R",49,"R",19
104179,"R",6036,"R",10745,"R",56,"R",6011,"R",19,"Z",0,"R",5992,"R",4986,"R",83,"R",1739,"R",0,"R",0,"R",1739,"R",1160,"R",67,"R",15
104188,"R",17,"R",28,"R",61,"R",18,"R",0,"R",0,"R",18,"R",12,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
104346,"R",515,"R",2536,"R",20,"R",595,"R",0,"R",0,"R",595,"R",329,"R",55,"R",1019,"R",0,"R",0,"R",1019,"R",352,"R",35,"R",16
104391,"A",,"A",,"A",,"R",44,"R",0,"R",0,"R",44,"R",41,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
104425,"R",520,"R",1010,"R",51,"R",519,"R",0,"R",0,"R",519,"R",342,"R",66,"R",187,"R",0,"R",0,"R",187,"R",79,"R",42,"R",15
104434,"A",,"A",,"A",,"R",19,"R",0,"Z",0,"R",19,"R",15,"R",79,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
104443,"A",,"A",,"A",,"R",13,"R",1,"Z",0,"R",12,"R",9,"R",75,"R",9,"R",0,"Z",0,"R",9,"R",4,"R",44,"R",13
104568,"A",,"A",,"A",,"R",97,"R",2,"R",0,"R",95,"R",90,"R",95,"R",83,"R",1,"R",0,"R",82,"R",72,"R",88,"R",18
104577,"R",464,"R",1434,"R",32,"R",496,"R",0,"R",0,"R",496,"R",323,"R",65,"R",722,"R",2,"R",0,"R",720,"R",370,"R",51,"R",19
104586,"R",752,"R",853,"R",88,"R",609,"R",0,"R",0,"R",609,"R",505,"R",83,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",17
104708,"R",1397,"R",4741,"R",29,"R",1533,"R",0,"Z",0,"R",1533,"R",1017,"R",66,"R",1010,"R",0,"Z",0,"R",1010,"R",454,"R",45,"R",21
104717,"R",5679,"R",19653,"R",29,"R",2725,"R",0,"Z",0,"R",2725,"R",1782,"R",65,"R",1302,"R",2,"Z",0,"R",1300,"R",492,"R",38,"R",21
105145,"R",288,"R",1748,"R",16,"R",295,"R",0,"Z",0,"R",295,"R",173,"R",59,"R",223,"R",0,"Z",0,"R",223,"R",100,"R",45,"R",15
105154,"R",1289,"R",5539,"R",23,"R",1471,"R",0,"Z",0,"R",1471,"R",932,"R",63,"R",999,"R",0,"Z",0,"R",999,"R",430,"R",43,"R",20
105206,"R",156,"R",845,"R",18,"R",126,"R",0,"R",0,"R",126,"R",63,"R",50,"R",278,"R",0,"R",0,"R",278,"R",110,"R",40,"R",13
105215,"A",,"A",,"A",,"R",172,"R",2,"R",0,"R",170,"R",138,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",31
105297,"R",141,"R",294,"R",48,"R",28,"R",0,"R",0,"R",28,"R",14,"R",50,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",13
105330,"R",4772,"R",8056,"R",59,"R",5047,"R",0,"R",0,"R",5047,"R",3914,"R",78,"R",821,"R",0,"R",0,"R",821,"R",413,"R",50,"R",19
105349,"R",40,"R",1486,"R",3,"R",32,"R",0,"R",0,"R",32,"R",14,"R",44,"R",54,"R",0,"R",0,"R",54,"R",13,"R",24,"R",16
105367,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
105428,"R",657,"R",3369,"R",20,"R",648,"R",0,"Z",0,"R",648,"R",409,"R",63,"R",594,"R",0,"Z",0,"R",594,"R",237,"R",40,"R",17
105525,"R",1380,"R",5830,"R",24,"R",1468,"R",1,"R",0,"R",1467,"R",948,"R",65,"R",2257,"R",0,"R",0,"R",2257,"R",1031,"R",46,"R",19
105534,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
105543,"A",,"A",,"A",,"R",75,"R",0,"R",0,"R",75,"R",57,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
105589,"R",51,"R",212,"R",24,"R",44,"R",0,"R",0,"R",44,"R",27,"R",61,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",9
105659,"A",,"A",,"A",,"R",292,"R",3,"R",0,"R",289,"R",234,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",34
105668,"R",88,"R",4638,"R",2,"R",94,"R",0,"Z",0,"R",94,"R",29,"R",31,"R",310,"R",0,"Z",0,"R",310,"R",67,"R",22,"R",32
105677,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
105747,"R",411,"R",2394,"R",17,"R",462,"R",0,"Z",0,"R",462,"R",273,"R",59,"R",248,"R",0,"Z",0,"R",248,"R",116,"R",47,"R",17
105792,"R",362,"R",1327,"R",27,"R",386,"R",0,"Z",0,"R",386,"R",228,"R",59,"R",205,"R",0,"Z",0,"R",205,"R",81,"R",40,"R",18
105899,"R",219,"R",402,"R",54,"R",153,"R",0,"R",0,"R",153,"R",86,"R",56,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"R",15
106041,"A",,"A",,"A",,"R",493,"R",4,"R",0,"R",489,"R",356,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",40
106111,"A",,"A",,"A",,"R",19,"R",0,"Z",0,"R",19,"R",8,"R",42,"R",13,"R",0,"Z",0,"R",13,"R",4,"R",31,"R",13
106148,"R",564,"R",2514,"R",22,"R",508,"R",0,"R",0,"R",508,"R",306,"R",60,"R",588,"R",0,"R",0,"R",588,"R",251,"R",43,"R",19
106245,"R",563,"R",2097,"R",27,"R",557,"R",0,"R",0,"R",557,"R",370,"R",66,"R",44,"R",0,"R",0,"R",44,"R",17,"R",39,"R",13
106263,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
106306,"R",201,"R",306,"R",66,"R",14,"R",0,"R",0,"R",14,"R",5,"R",36,"R",7,"R",0,"R",0,"R",7,"R",1,"R",14,"R",24
106315,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
106324,"A",,"A",,"A",,"R",9,"R",0,"R",0,"R",9,"R",7,"R",78,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",7
106342,"R",173,"R",238,"R",73,"R",215,"R",0,"R",0,"R",215,"R",146,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
106351,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
