UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",6686,"R",2627,"R",4059,"R",17,"R",5,"R",12,"R",16,"R",8,"R",8,"R",5865,"R",2319,"R",3546,"R",52,"R",26,"R",26,"R",8,"R",4,"R",4,"R",187,"R",79,"R",108,"R",72,"R",24,"R",48,"R",386,"R",120,"R",266,"R",83,"R",42,"R",41
100654,2,  1,"R",5530,"R",2290,"R",3240,"R",14,"R",4,"R",10,"R",9,"R",4,"R",5,"R",5013,"R",2062,"R",2951,"R",48,"R",26,"R",22,"R",8,"R",4,"R",4,"R",109,"R",61,"R",48,"R",67,"R",22,"R",45,"R",220,"R",85,"R",135,"R",42,"R",22,"R",20
100654,4,  3,"R",1156,"R",337,"R",819,"R",3,"R",1,"R",2,"R",7,"R",4,"R",3,"R",852,"R",257,"R",595,"R",4,"R",0,"R",4,"R",0,"R",0,"R",0,"R",78,"R",18,"R",60,"R",5,"R",2,"R",3,"R",166,"R",35,"R",131,"R",41,"R",20,"R",21
100663,1,999,"R",25705,"R",9745,"R",15960,"R",70,"R",26,"R",44,"R",1445,"R",590,"R",855,"R",5734,"R",1751,"R",3983,"R",778,"R",296,"R",482,"R",7,"R",2,"R",5,"R",15109,"R",5859,"R",9250,"R",934,"R",324,"R",610,"R",374,"R",162,"R",212,"R",1254,"R",735,"R",519
100663,2,  1,"R",14808,"R",5814,"R",8994,"R",46,"R",15,"R",31,"R",871,"R",377,"R",494,"R",3912,"R",1270,"R",2642,"R",510,"R",199,"R",311,"R",3,"R",0,"R",3,"R",8299,"R",3426,"R",4873,"R",664,"R",240,"R",424,"R",90,"R",44,"R",46,"R",413,"R",243,"R",170
100663,4,  3,"R",10897,"R",3931,"R",6966,"R",24,"R",11,"R",13,"R",574,"R",213,"R",361,"R",1822,"R",481,"R",1341,"R",268,"R",97,"R",171,"R",4,"R",2,"R",2,"R",6810,"R",2433,"R",4377,"R",270,"R",84,"R",186,"R",284,"R",118,"R",166,"R",841,"R",492,"R",349
100690,1,999,"R",1058,"R",411,"R",647,"R",5,"R",2,"R",3,"R",9,"R",5,"R",4,"R",674,"R",167,"R",507,"R",19,"R",16,"R",3,"R",8,"R",4,"R",4,"R",312,"R",204,"R",108,"Z",0,"Z",0,"Z",0,"R",31,"R",13,"R",18,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",484,"R",160,"R",324,"R",2,"R",1,"R",1,"R",2,"R",2,"Z",0,"R",347,"R",84,"R",263,"R",7,"R",5,"R",2,"R",2,"Z",0,"R",2,"R",113,"R",63,"R",50,"Z",0,"Z",0,"Z",0,"R",11,"R",5,"R",6,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",574,"R",251,"R",323,"R",3,"R",1,"R",2,"R",7,"R",3,"R",4,"R",327,"R",83,"R",244,"R",12,"R",11,"R",1,"R",6,"R",4,"R",2,"R",199,"R",141,"R",58,"Z",0,"Z",0,"Z",0,"R",20,"R",8,"R",12,"Z",0,"Z",0,"Z",0
100706,1,999,"R",11135,"R",6106,"R",5029,"R",119,"R",65,"R",54,"R",410,"R",214,"R",196,"R",1123,"R",451,"R",672,"R",530,"R",282,"R",248,"R",8,"R",3,"R",5,"R",7688,"R",4365,"R",3323,"R",282,"R",138,"R",144,"R",479,"R",251,"R",228,"R",496,"R",337,"R",159
