varnumber,varname,codevalue,valuelabel,frequency,percent
10016,STABBR,AL,Alabama,83,1.27
10016,STABBR,AK,Alaska,10,0.15
10016,STABBR,AZ,Arizona,117,1.78
10016,STABBR,AR,Arkansas,88,1.34
10016,STABBR,CA,California,699,10.66
10016,STABBR,CO,Colorado,106,1.62
10016,STABBR,CT,Connecticut,75,1.14
10016,STABBR,DE,Delaware,19,0.29
10016,STABBR,DC,District of Columbia,23,0.35
10016,STABBR,FL,Florida,347,5.29
10016,STABBR,GA,Georgia,149,2.27
10016,STABBR,HI,Hawaii,23,0.35
10016,STABBR,ID,Idaho,38,0.58
10016,STABBR,IL,Illinois,257,3.92
10016,STABBR,IN,Indiana,111,1.69
10016,STABBR,IA,Iowa,85,1.3
10016,STABBR,KS,Kansas,78,1.19
10016,STABBR,KY,Kentucky,91,1.39
10016,STABBR,LA,Louisiana,120,1.83
10016,STABBR,ME,Maine,39,0.59
10016,STABBR,MD,Maryland,85,1.3
10016,STABBR,MA,Massachusetts,161,2.45
10016,STABBR,MI,Michigan,171,2.61
10016,STABBR,MN,Minnesota,104,1.59
10016,STABBR,MS,Mississippi,58,0.88
10016,STABBR,MO,Missouri,162,2.47
10016,STABBR,MT,Montana,32,0.49
10016,STABBR,NE,Nebraska,47,0.72
10016,STABBR,NV,Nevada,41,0.63
10016,STABBR,NH,New Hampshire,39,0.59
10016,STABBR,NJ,New Jersey,164,2.5
10016,STABBR,NM,New Mexico,48,0.73
10016,STABBR,NY,New York,448,6.83
10016,STABBR,NC,North Carolina,173,2.64
10016,STABBR,ND,North Dakota,28,0.43
10016,STABBR,OH,Ohio,297,4.53
10016,STABBR,OK,Oklahoma,108,1.65
10016,STABBR,OR,Oregon,80,1.22
10016,STABBR,PA,Pennsylvania,344,5.24
10016,STABBR,RI,Rhode Island,23,0.35
10016,STABBR,SC,South Carolina,97,1.48
10016,STABBR,SD,South Dakota,30,0.46
10016,STABBR,TN,Tennessee,157,2.39
10016,STABBR,TX,Texas,421,6.42
10016,STABBR,UT,Utah,69,1.05
10016,STABBR,VT,Vermont,25,0.38
10016,STABBR,VA,Virginia,150,2.29
10016,STABBR,WA,Washington,101,1.54
10016,STABBR,WV,West Virginia,74,1.13
10016,STABBR,WI,Wisconsin,100,1.52
10016,STABBR,WY,Wyoming,10,0.15
10016,STABBR,AS,American Samoa,1,0.02
10016,STABBR,FM,Federated States of Micronesia,1,0.02
10016,STABBR,GU,Guam,3,0.05
10016,STABBR,MH,Marshall Islands,1,0.02
10016,STABBR,MP,Northern Marianas,1,0.02
10016,STABBR,PW,Palau,1,0.02
10016,STABBR,PR,Puerto Rico,145,2.21
10016,STABBR,VI,Virgin Islands,1,0.02
10026,FIPS,1,Alabama,83,1.27
10026,FIPS,2,Alaska,10,0.15
10026,FIPS,4,Arizona,117,1.78
10026,FIPS,5,Arkansas,88,1.34
10026,FIPS,6,California,699,10.66
10026,FIPS,8,Colorado,106,1.62
10026,FIPS,9,Connecticut,75,1.14
10026,FIPS,10,Delaware,19,0.29
10026,FIPS,11,District of Columbia,23,0.35
10026,FIPS,12,Florida,347,5.29
10026,FIPS,13,Georgia,149,2.27
10026,FIPS,15,Hawaii,23,0.35
10026,FIPS,16,Idaho,38,0.58
10026,FIPS,17,Illinois,257,3.92
10026,FIPS,18,Indiana,111,1.69
10026,FIPS,19,Iowa,85,1.3
10026,FIPS,20,Kansas,78,1.19
10026,FIPS,21,Kentucky,91,1.39
10026,FIPS,22,Louisiana,120,1.83
10026,FIPS,23,Maine,39,0.59
10026,FIPS,24,Maryland,85,1.3
10026,FIPS,25,Massachusetts,161,2.45
10026,FIPS,26,Michigan,171,2.61
10026,FIPS,27,Minnesota,104,1.59
10026,FIPS,28,Mississippi,58,0.88
10026,FIPS,29,Missouri,162,2.47
10026,FIPS,30,Montana,32,0.49
10026,FIPS,31,Nebraska,47,0.72
10026,FIPS,32,Nevada,41,0.63
10026,FIPS,33,New Hampshire,39,0.59
10026,FIPS,34,New Jersey,164,2.5
10026,FIPS,35,New Mexico,48,0.73
10026,FIPS,36,New York,448,6.83
10026,FIPS,37,North Carolina,173,2.64
10026,FIPS,38,North Dakota,28,0.43
10026,FIPS,39,Ohio,297,4.53
10026,FIPS,40,Oklahoma,108,1.65
10026,FIPS,41,Oregon,80,1.22
10026,FIPS,42,Pennsylvania,344,5.24
10026,FIPS,44,Rhode Island,23,0.35
10026,FIPS,45,South Carolina,97,1.48
10026,FIPS,46,South Dakota,30,0.46
10026,FIPS,47,Tennessee,157,2.39
10026,FIPS,48,Texas,421,6.42
10026,FIPS,49,Utah,69,1.05
10026,FIPS,50,Vermont,25,0.38
10026,FIPS,51,Virginia,150,2.29
10026,FIPS,53,Washington,101,1.54
10026,FIPS,54,West Virginia,74,1.13
10026,FIPS,55,Wisconsin,100,1.52
10026,FIPS,56,Wyoming,10,0.15
10026,FIPS,60,American Samoa,1,0.02
10026,FIPS,64,Federated States of Micronesia,1,0.02
10026,FIPS,66,Guam,3,0.05
10026,FIPS,68,Marshall Islands,1,0.02
10026,FIPS,69,Northern Marianas,1,0.02
10026,FIPS,70,Palau,1,0.02
10026,FIPS,72,Puerto Rico,145,2.21
10026,FIPS,78,Virgin Islands,1,0.02
10031,OBEREG,0,US Service schools,7,0.11
10031,OBEREG,1,New England CT ME MA NH RI VT,361,5.5
10031,OBEREG,2,Mid East DE DC MD NJ NY PA,"1,080",16.47
10031,OBEREG,3,Great Lakes IL IN MI OH WI,935,14.26
10031,OBEREG,4,Plains IA KS MN MO NE ND SD,534,8.14
10031,OBEREG,5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"1,587",24.2
10031,OBEREG,6,Southwest AZ NM OK TX,694,10.58
10031,OBEREG,7,Rocky Mountains CO ID MT UT WY,254,3.87
10031,OBEREG,8,Far West AK CA HI NV OR WA,953,14.53
10031,OBEREG,9,Outlying areas AS FM GU MH MP PR PW VI,154,2.35
10076,OPEFLAG,1,Participates in Title IV federal financial aid programs,"6,191",94.39
10076,OPEFLAG,2,Branch campus of a main campus that participates in Title IV,91,1.39
10076,OPEFLAG,3,Deferment only - limited participation,27,0.41
10076,OPEFLAG,4,New participants (became eligible during winter collection),1,0.02
10076,OPEFLAG,5,"Not currently participating in Title IV, has an OPE ID number",216,3.29
10076,OPEFLAG,6,"Not currently participating in Title IV, does not have OPE ID number",29,0.44
10076,OPEFLAG,7,Stopped participating during the survey year,4,0.06
10086,SECTOR,0,Administrative Unit,73,1.11
10086,SECTOR,1,"Public, 4-year or above",807,12.3
10086,SECTOR,2,"Private not-for-profit, 4-year or above","1,685",25.69
10086,SECTOR,3,"Private for-profit, 4-year or above",390,5.95
10086,SECTOR,4,"Public, 2-year",948,14.45
10086,SECTOR,5,"Private not-for-profit, 2-year",153,2.33
10086,SECTOR,6,"Private for-profit, 2-year",620,9.45
10086,SECTOR,7,"Public, less-than 2-year",235,3.58
10086,SECTOR,8,"Private not-for-profit, less-than 2-year",64,0.98
10086,SECTOR,9,"Private for-profit, less-than 2-year","1,552",23.66
10086,SECTOR,99,Sector unknown (not active),32,0.49
10091,ICLEVEL,1,Four or more years,"2,933",44.72
10091,ICLEVEL,2,At least 2 but less than 4 years,"1,742",26.56
10091,ICLEVEL,3,Less than 2 years (below associate),"1,852",28.24
10091,ICLEVEL,-3,{Not available},32,0.49
10096,CONTROL,1,Public,"2,056",31.35
10096,CONTROL,2,Private not-for-profit,"1,905",29.04
10096,CONTROL,3,Private for-profit,"2,566",39.12
10096,CONTROL,-3,{Not available},32,0.49
10101,HLOFFER,1,Award of less than one academic year,207,3.16
10101,HLOFFER,2,"At least 1, but less than 2 academic yrs","1,645",25.08
10101,HLOFFER,3,Associate's degree,"1,169",17.82
10101,HLOFFER,4,"At least 2, but less than 4 academic yrs",573,8.74
10101,HLOFFER,5,Bachelor's degree,765,11.66
10101,HLOFFER,6,Postbaccalaureate certificate,16,0.24
10101,HLOFFER,7,Master's degree,744,11.34
10101,HLOFFER,8,Post-master's certificate,159,2.42
10101,HLOFFER,9,Doctor's degree,"1,249",19.04
10101,HLOFFER,-3,{Not available},32,0.49
10106,UGOFFER,1,Undergraduate degree or certificate offering,"6,224",94.89
10106,UGOFFER,2,No undergraduate offering,303,4.62
10106,UGOFFER,-3,{Not available},32,0.49
10111,GROFFER,1,Graduate degree or certificate offering,"2,168",33.05
10111,GROFFER,2,No graduate offering,"4,359",66.46
10111,GROFFER,-3,{Not available},32,0.49
10122,HDEGOFR1,11,Doctor's degree - research/scholarship and professional practice,496,7.56
10122,HDEGOFR1,12,Doctor's degree - research/scholarship,344,5.24
10122,HDEGOFR1,13,Doctor's degree -  professional practice,337,5.14
10122,HDEGOFR1,14,Doctor's degree - other,72,1.1
10122,HDEGOFR1,20,Master's degree,901,13.74
10122,HDEGOFR1,30,Bachelor's degree,776,11.83
10122,HDEGOFR1,40,Associate's degree,"1,395",21.27
10122,HDEGOFR1,0,Non-degree granting,"2,206",33.63
10122,HDEGOFR1,-3,{Not available},32,0.49
10126,DEGGRANT,1,Degree-granting,"4,321",65.88
10126,DEGGRANT,2,"Nondegree-granting, primarily postsecondary","2,206",33.63
10126,DEGGRANT,-3,{Not available},32,0.49
10151,HBCU,1,Yes,100,1.52
10151,HBCU,2,No,"6,459",98.48
10156,HOSPITAL,1,Yes,96,1.46
10156,HOSPITAL,2,No,"2,573",39.23
10156,HOSPITAL,-1,Not reported,94,1.43
10156,HOSPITAL,-2,Not applicable,"3,796",57.87
10161,MEDICAL,1,Yes,201,3.06
10161,MEDICAL,2,No,"6,068",92.51
10161,MEDICAL,-1,Not reported,39,0.59
10161,MEDICAL,-2,Not applicable,251,3.83
10166,TRIBAL,1,Yes,34,0.52
10166,TRIBAL,2,No,"6,525",99.48
10176,LOCALE,11,City: Large,"1,559",23.77
10176,LOCALE,12,City: Midsize,771,11.75
10176,LOCALE,13,City: Small,854,13.02
10176,LOCALE,21,Suburb: Large,"1,617",24.65
10176,LOCALE,22,Suburb: Midsize,188,2.87
10176,LOCALE,23,Suburb: Small,132,2.01
10176,LOCALE,31,Town: Fringe,127,1.94
10176,LOCALE,32,Town: Distant,439,6.69
10176,LOCALE,33,Town: Remote,332,5.06
10176,LOCALE,41,Rural: Fringe,357,5.44
10176,LOCALE,42,Rural: Distant,120,1.83
10176,LOCALE,43,Rural: Remote,60,0.91
10176,LOCALE,-3,{Not available},3,0.05
10181,OPENPUBL,1,Institution is open to the public,"6,557",99.97
10181,OPENPUBL,0,Institution is not open to the public,2,0.03
10186,ACT,A,Active - institution active,"6,243",95.18
10186,ACT,N,New (active) - added during the current year,84,1.28
10186,ACT,R,Restore (active) - restored to the current universe,14,0.21
10186,ACT,M,Closed in current year (active has data),46,0.7
10186,ACT,C,Combined with other institution,33,0.5
10186,ACT,D,Delete out of business,92,1.4
10186,ACT,G,"Perfect child campus - data reported with main campus, but is listed on college navigator",47,0.72
10196,DEATHYR,2019,2019,171,2.61
10196,DEATHYR,-2,Not applicable,"6,388",97.39
10206,CYACTIVE,1,Yes,"6,387",97.38
10206,CYACTIVE,3,"No, closed, combined, or out-of-scope",172,2.62
10211,POSTSEC,1,Primarily postsecondary institution,"6,527",99.51
10211,POSTSEC,2,Not primarily postsecondary,32,0.49
10216,PSEFLAG,1,Active postsecondary institution,"6,325",96.43
10216,PSEFLAG,2,Not primarily postsecondary or open to public,62,0.95
10216,PSEFLAG,3,Not active,172,2.62
10221,PSET4FLG,1,Title IV postsecondary institution,"6,185",94.3
10221,PSET4FLG,2,Non-Title IV postsecondary institution,168,2.56
10221,PSET4FLG,3,Title IV NOT primarily postsecondary institution,31,0.47
