UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
100654,"R",8610,"R",1414,"R",287,"R",8610,"R",1414,"R",287,"R",17220,"R",1414,"R",574,"R",10128,"R",1414,"R",422,"R",10128,"R",1414,"R",422,"R",20160,"R",1414,"R",840,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8130,"R",1236,"R",9366,"R",8379,"R",1478,"R",9857,"R",8610,"R",1134,"R",9744,"R",8610,"R",1414,"R",10024,.,.,"R",8130,"R",1236,"R",9366,"R",8379,"R",1478,"R",9857,"R",8610,"R",1134,"R",9744,"R",8610,"R",1414,"R",10024,.,.,"R",16260,"R",1236,"R",17496,"R",16758,"R",1478,"R",18236,"R",17220,"R",1134,"R",18354,"R",17220,"R",1414,"R",18634,.,.,"R",1600,"R",1600,"R",1600,"R",1600,"R",8830,"R",9020,"R",9128,"R",9240,"R",3090,"R",2580,"R",2990,"R",3090,"R",8830,"R",8379,"R",9128,"R",9240,"R",3090,"R",2580,"R",2990,"R",3090,"R",3090,"R",2580,"R",2990,"R",3090
100663,"R",8568,"R",0,"R",357,"R",8568,"R",0,"R",357,"R",20400,"R",0,"R",850,"R",8100,"R",0,"R",450,"R",8100,"R",0,"R",450,"R",19188,"R",0,"R",1066,"Y",.,"Y",.,"Y",.,"Y",.,"R",28576,"R",0,"R",66192,"R",0,"R",28978,"R",0,"R",62714,"R",0,"R",27039,"R",0,"R",54012,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8040,"R",0,"R",8040,"R",8328,"R",0,"R",8328,"R",8568,"R",0,"R",8568,"R",8568,"R",0,"R",8568,.,.,"R",8040,"R",0,"R",8040,"R",8328,"R",0,"R",8328,"R",8568,"R",0,"R",8568,"R",8568,"R",0,"R",8568,.,.,"R",18368,"R",0,"R",18368,"R",19032,"R",0,"R",19032,"R",19704,"R",0,"R",19704,"R",20400,"R",0,"R",20400,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",11682,"R",11682,"R",11682,"R",12307,"R",4886,"R",4886,"R",4886,"R",5555,"R",11682,"R",11682,"R",11682,"R",12307,"R",4886,"R",4886,"R",4886,"R",5555,"R",4886,"R",4886,"R",4886,"R",5555
100690,"R",9000,"R",950,"R",430,"R",9000,"R",950,"R",430,"R",9000,"R",950,"R",430,"R",11700,"R",1300,"R",750,"R",11700,"R",1300,"R",750,"R",11700,"R",1300,"R",750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,"R",6000,"R",950,"R",6950,3,.,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,"R",6000,"R",950,"R",6950,3,.,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,"R",6000,"R",950,"R",6950,3,.,"R",1500,"R",1500,"R",1500,"R",900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9600,"R",9600,"R",9600,"R",9600,"R",1600,"R",1600,"R",1600,"R",1600,"R",1600,"R",1600,"R",1600,"R",1600
100706,"R",9730,"R",1392,"R",427,"R",9730,"R",1392,"R",427,"R",22126,"R",1392,"R",978,"R",10632,"R",826,"R",662,"R",10632,"R",826,"R",662,"R",24430,"R",826,"R",1509,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8996,"R",846,"R",9842,"R",9356,"R",924,"R",10280,"R",9730,"R",984,"R",10714,"R",9730,"R",1392,"R",11122,.,.,"R",8996,"R",846,"R",9842,"R",9356,"R",924,"R",10280,"R",9730,"R",984,"R",10714,"R",9730,"R",1392,"R",11122,.,.,"R",19766,"R",846,"R",20612,"R",20556,"R",924,"R",21480,"R",21378,"R",984,"R",22362,"R",22126,"R",1392,"R",23518,.,.,"R",1688,"R",1956,"R",2034,"R",2120,"R",9603,"R",9748,"R",10094,"R",10400,"R",3578,"R",3697,"R",3808,"R",3994,"R",9603,"R",9748,"R",8875,"R",10400,"R",3578,"R",3697,"R",3808,"R",3994,"R",3578,"R",3697,"R",3808,"R",3994
100724,"R",8328,"R",2740,"R",347,"R",8328,"R",2740,"R",347,"R",16656,"R",2740,"R",694,"R",7416,"R",2740,"R",412,"R",7416,"R",2740,"R",412,"R",14832,"R",2740,"R",824,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6936,"R",2284,"R",9220,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,.,.,"R",6936,"R",2284,"R",9220,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,.,.,"R",13872,"R",2284,"R",16156,"R",16656,"R",2740,"R",19396,"R",16656,"R",2740,"R",19396,"R",16656,"R",2740,"R",19396,.,.,"R",1600,"R",1600,"R",1600,"R",1600,"R",5422,"R",5422,"R",6050,"R",6050,"R",3392,"R",3392,"R",3392,"R",3392,"R",7320,"R",7320,"R",7320,"R",7320,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228
100751,"R",10780,"R",0,"R",545,"R",10780,"R",0,"R",545,"R",30250,"R",0,"R",1330,"R",10780,"R",0,"R",615,"R",10780,"R",0,"R",615,"R",30250,"R",0,"R",1550,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",28978,"R",0,"R",62714,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",23610,"R",0,"R",43060,"R",0,"R",10470,"R",0,"R",10470,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,.,.,"R",10470,"R",0,"R",10470,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,.,.,"R",26950,"R",0,"R",26950,"R",28100,"R",0,"R",28100,"R",29230,"R",0,"R",29230,"R",30250,"R",0,"R",30250,.,.,"R",1200,"R",1200,"R",1200,"R",1000,"R",13050,"R",13324,"R",13402,"R",13636,"R",4116,"R",4120,"R",4490,"R",4600,"R",13050,"R",13324,"R",13402,"R",13636,"R",4116,"R",4120,"R",4490,"R",4600,"R",5140,"R",5430,"R",5520,"R",5860
100760,"R",3930,"R",940,"R",131,"R",3930,"R",940,"R",131,"R",7860,"R",940,"R",262,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,"R",3930,"R",940,"R",4870,.,.,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,"R",3930,"R",940,"R",4870,.,.,"R",7020,"R",870,"R",7890,"R",7140,"R",870,"R",8010,"R",7740,"R",870,"R",8610,"R",7860,"R",940,"R",8800,.,.,"R",1400,"R",1200,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7200,"R",5400,"R",5400,"R",5400,"R",3400,"R",2450,"R",2450,"R",2450,"R",2850,"R",2450,"R",2700,"R",2450
100812,"R",6180,"R",1530,"R",206,"R",6180,"R",1530,"R",206,"R",12360,"R",1530,"R",412,"R",6936,"R",1224,"R",289,"R",6936,"R",1224,"R",289,"R",12000,"R",1224,"R",500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100830,"R",7752,"R",868,"R",323,"R",7752,"R",868,"R",323,"R",17424,"R",868,"R",726,"R",7362,"R",766,"R",409,"R",7362,"R",766,"R",409,"R",16542,"R",766,"R",919,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8880,"R",760,"R",9640,"R",7320,"R",700,"R",8020,"R",7536,"R",868,"R",8404,"R",7752,"R",868,"R",8620,.,.,"R",8880,"R",760,"R",9640,"R",7320,"R",700,"R",8020,"R",7536,"R",868,"R",8404,"R",7752,"R",868,"R",8620,.,.,"R",19950,"R",760,"R",20710,"R",16440,"R",700,"R",17140,"R",16944,"R",868,"R",17812,"R",17424,"R",868,"R",18292,.,.,"R",1100,"R",1100,"R",1200,"R",1200,"R",5650,"R",6980,"R",6980,"R",6980,"R",3690,"R",3690,"R",3730,"R",3850,"R",9657,"R",10107,"R",10289,"R",10296,"R",3690,"R",3690,"R",3730,"R",3850,"R",3690,"R",3690,"R",3730,"R",3850
100858,"R",9816,"R",1676,"R",409,"R",9816,"R",1676,"R",409,"R",29448,"R",1676,"R",1227,"R",9828,"R",1676,"R",546,"R",9828,"R",1676,"R",546,"R",29484,"R",1676,"R",1638,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",9828,"R",12242,"R",29484,"R",12242,"Y",.,"Y",.,"Y",.,"Y",.,"R",9828,"R",10760,"R",29484,"R",18760,"Y",.,"Y",.,"Y",.,"Y",.,"R",9072,"R",1624,"R",10696,"R",9336,"R",1632,"R",10968,"R",9624,"R",1652,"R",11276,"R",9816,"R",1676,"R",11492,.,.,"R",9072,"R",1624,"R",10696,"R",9336,"R",1632,"R",10968,"R",9624,"R",1652,"R",11276,"R",9816,"R",1676,"R",11492,.,.,"R",27216,"R",1624,"R",28840,"R",28008,"R",1632,"R",29640,"R",28872,"R",1652,"R",30524,"R",29448,"R",1676,"R",31124,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",12898,"R",13332,"R",13332,"R",13600,"R",5664,"R",5782,"R",5782,"R",5904,"R",12898,"R",13332,"R",13332,"R",13600,"R",5664,"R",5782,"R",5782,"R",5904,"R",5664,"R",5782,"R",5782,"R",5904
