UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
101277,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",10050,"R",10050,"R",11040,"R",11040,"R",1965,"R",1983,"R",2503,"R",2503,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6897,"R",8695,"R",11268,"R",11268,"R",8084,"R",7673,"R",7978,"R",7978,"R",8202,"R",6956,"R",7508,"R",7508,"12.0413","R",2150,"R",815,"R",650,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
102711,10,"47.0605","A",.,"A",.,"R",1346,1,"R",10,"R",40,"R",900,"R",26,"R",3250,"R",3490,"R",3490,"R",3490,"R",3719,"R",4099,"R",4999,"R",4999,"R",8390,"R",9030,"R",9030,"R",9030,"R",1750,"R",2000,"R",2000,"R",2000,"R",17500,"R",18500,"R",18500,"R",18500,"R",1750,"R",2000,"R",2000,"R",2000,"R",1750,"R",2000,"R",2000,"R",2000,"48.0508","R",3490,"R",5989,"R",1120,1,"R",9,"47.0105","R",3490,"R",2859,"R",1414,1,"R",10,"11.0401","R",3490,"R",2815,"R",1254,1,"R",10,"47.0201","R",2225,"R",1303,"R",609,1,"R",5,"52.0401","R",3490,"R",1326,"R",1246,1,"R",9,
103501,9,"51.0801","A",.,"A",.,"R",46,2,"R",10,"R",40,"R",30,"R",30,"R",15315,"R",15340,"R",15340,"R",15895,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14660,"R",13030,"R",12240,"R",11020,"R",9470,"R",8410,"R",7410,"R",6670,"R",9470,"R",8410,"R",7410,"R",6670,"51.0713","R",12104,"A",.,"R",34,2,"R",11,"52.0305","R",24953,"A",.,"R",66,2,"R",15,"51.3501","R",15920,"A",.,"R",48,2,"R",10,"51.1009","R",9962,"A",.,"R",27,2,"R",7,"52.1001","R",24953,"A",.,"R",66,2,"R",15,
103741,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",17424,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8959,"R",8890,"R",9350,"R",9534,"R",7636,"R",7889,"R",8292,"R",8798,"R",7636,"R",7889,"R",8292,"R",8798,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103893,13,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",32,"R",36,"R",14128,"R",14322,"R",14322,"R",14763,"R",1005,"R",640,"R",640,"R",715,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12492,"R",13293,"R",13779,"R",13779,"R",4158,"R",4239,"R",4248,"R",4248,"R",4284,"R",4374,"R",4365,"R",4365,"51.3801","R",49253,"R",1825,"R",80,2,"R",20,"51.0601","R",14824,"R",670,"R",36,2,"R",9,"51.0908","R",41600,"R",2298,"R",60,2,"R",28,"51.0808","R",14139,"R",875,"R",36,2,"R",9,"51.0714","R",14608,"R",1129,"R",36,2,"R",9,
103954,3,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",14500,"R",14500,"R",14500,"R",17700,"R",1150,"R",1150,"R",1150,"R",1150,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8047,"R",8541,"R",9165,"R",14144,"R",9906,"R",7930,"R",9568,"R",13494,"R",6344,"R",6370,"R",4914,"R",2145,"12.0410","R",5500,"R",1150,"R",600,1,"R",5,"12.0413","R",4475,"R",300,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103963,4,"48.0508","A",.,"A",.,"R",960,1,"R",10,"R",40,"R",900,"R",36,"R",19220,"R",19220,"R",19220,"R",20663,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9800,"R",10000,"R",10200,"R",10400,"R",10730,"R",10940,"R",11160,"R",11380,"R",10730,"R",10940,"R",11160,"R",11380,"47.0604","R",24640,"A",.,"R",1000,1,"R",13,"47.0605","R",24640,"A",.,"R",1000,1,"R",13,"47.0201","R",20040,"A",.,"R",800,1,"R",11,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104090,19,"51.3801","A",.,"A",.,"R",122,2,"R",30,"R",120,"R",30,"R",30,"R",85000,"R",85000,"R",85000,"R",85000,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",36000,"R",36000,"R",36000,"R",36000,"R",31080,"R",31080,"R",31080,"R",31080,"R",28800,"R",28800,"R",28800,"R",28800,"51.0801","R",15225,"R",0,"R",34,2,"R",9,"51.3902","R",15225,"R",0,"R",34,2,"R",9,"51.1009","R",15225,"R",0,"R",34,2,"R",9,"51.0805","R",15225,"R",0,"R",34,2,"R",9,"51.0000","R",30000,"R",0,"R",60,2,"R",11,
104391,4,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",30,"R",11500,"R",12343,"R",12500,"R",12500,"R",2900,"R",2000,"R",3400,"R",3400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8928,"R",8928,"R",8928,"R",8928,"R",5268,"R",5268,"R",5268,"R",5268,"R",3372,"R",3372,"R",3372,"R",3372,"51.3501","R",7250,"R",750,"R",700,1,"R",7,"13.1319","R",4000,"R",125,"R",650,1,"R",6,"12.0410","R",4520,"R",240,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104434,1,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",17424,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8959,"R",8890,"R",9350,"R",9534,"R",7636,"R",7889,"R",8292,"R",8798,"R",7636,"R",7889,"R",8292,"R",8798,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
