UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",242,"R",49,"R",50,"R",98,"R",38,"R",7,"R",0
100654,10,"R",242,"R",49,"R",50,"R",98,"R",38,"R",7,"R",0
100654,20,"R",99,"R",49,"R",32,"R",18,"R",0,"R",0,"R",0
100654,30,"R",39,"R",0,"R",9,"R",30,"R",0,"R",0,"R",0
100654,40,"R",104,"R",0,"R",9,"R",50,"R",38,"R",7,"R",0
100654,42,"R",104,"R",0,"R",9,"R",50,"R",38,"R",7,"R",0
100663, 0,"R",2523,"R",735,"R",677,"R",893,"R",218,"R",0,"R",0
100663,10,"R",2523,"R",735,"R",677,"R",893,"R",218,"R",0,"R",0
100663,20,"R",900,"R",604,"R",295,"R",1,"R",0,"R",0,"R",0
100663,30,"R",515,"R",9,"R",109,"R",397,"R",0,"R",0,"R",0
100663,40,"R",1108,"R",122,"R",273,"R",495,"R",218,"R",0,"R",0
100663,42,"R",1108,"R",122,"R",273,"R",495,"R",218,"R",0,"R",0
100690, 0,"R",30,"R",13,"R",10,"R",5,"R",2,"R",0,"R",0
100690,10,"R",30,"R",13,"R",10,"R",5,"R",2,"R",0,"R",0
100690,40,"R",30,"R",13,"R",10,"R",5,"R",2,"R",0,"R",0
100690,42,"R",24,"R",11,"R",9,"R",3,"R",1,"R",0,"R",0
100690,43,"R",6,"R",2,"R",1,"R",2,"R",1,"R",0,"R",0
100706, 0,"R",363,"R",75,"R",101,"R",97,"R",16,"R",74,"R",0
100706,10,"R",363,"R",75,"R",101,"R",97,"R",16,"R",74,"R",0
100706,20,"R",164,"R",74,"R",89,"R",1,"R",0,"R",0,"R",0
100706,30,"R",72,"R",0,"R",6,"R",66,"R",0,"R",0,"R",0
100706,40,"R",127,"R",1,"R",6,"R",30,"R",16,"R",74,"R",0
100706,41,"R",123,"R",1,"R",6,"R",30,"R",14,"R",72,"R",0
100706,42,"R",4,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
100706,44,"R",123,"R",1,"R",6,"R",30,"R",14,"R",72,"R",0
100724, 0,"R",226,"R",56,"R",63,"R",67,"R",36,"R",0,"R",4
100724,10,"R",222,"R",56,"R",63,"R",67,"R",36,"R",0,"R",0
100724,20,"R",105,"R",56,"R",46,"R",3,"R",0,"R",0,"R",0
100724,30,"R",66,"R",0,"R",15,"R",51,"R",0,"R",0,"R",0
100724,40,"R",51,"R",0,"R",2,"R",13,"R",36,"R",0,"R",0
