World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
1	Harvard University	USA	1	1	1	1	1	1	1	1	3	100.00
2	Stanford University	USA	2	9	2	2	5	3	3	3	7	98.25
3	Massachusetts Institute of Technology	USA	3	2	12	3	15	2	2	2	1	97.12
4	University of Cambridge	United Kingdom	1	3	10	6	12	8	14	12	45	96.13
5	University of Oxford	United Kingdom	2	7	13	10	6	11	6	9	19	95.39
6	Columbia University	USA	4	13	6	9	14	12	15	14	2	94.12
7	University of California, Berkeley	USA	5	6	21	5	11	4	8	6	21	91.35
8	University of Chicago	USA	6	11	14	8	17	16	11	17	83	90.72
9	Princeton University	USA	7	4	15	4	82	25	26	37	109	88.72
10	Yale University	USA	8	8	26	11	18	6	31	18	41	85.83
11	California Institute of Technology	USA	9	5	338	7	67	13	20	25	9	83.74
12	Cornell University	USA	10	12	19	19	24	15	27	23	13	81.74
13	University of Tokyo	Japan	1	14	3	31	13	20	31	31	8	79.51
14	University of Pennsylvania	USA	11	22	4	26	8	18	12	11	11	77.60
15	University of California, Los Angeles	USA	12	35	28	13	7	14	10	8	6	75.23
16	Johns Hopkins University	USA	13	18	89	16	4	10	4	4	4	70.44
17	University of California, San Diego	USA	14	27	594+	18	16	5	16	16	16	67.59
18	University of California, San Francisco	USA	15	378+	594+	14	23	7	18	10	55	66.97
19	University of Michigan	USA	16	25	20	139	3	19	5	12	12	66.60
20	Kyoto University	Japan	2	23	17	27	33	43	84	65	15	66.53
21	Northwestern University	USA	17	176	11	75	28	36	31	26	40	66.14
22	New York University	USA	18	38	24	20	47	30	27	32	43	66.11
23	Swiss Federal Institute of Technology in Zurich	Switzerland	1	17	61	17	46	27	41	72	51	64.98
24	Seoul National University	South Korea	1	378+	9	235+	27	148	184	106	9	64.92
25	University of Wisconsin–Madison	USA	19	29	29	32	22	24	23	27	14	64.04
26	Hebrew University of Jerusalem	Israel	1	16	196	15	127	103	324	149	28	63.52
27	University of Washington	USA	20	41	112	23	10	9	8	5	25	63.38
28	Rockefeller University	USA	21	32	594+	12	395	28	136	81	240	61.64
29	Duke University	USA	22	80	33	46	21	23	13	15	24	61.32
30	University of Toronto	Canada	1	47	70	24	2	17	7	6	230	60.79
31	University College London	United Kingdom	3	21	442	33	9	22	21	20	85	60.54
32	University of Texas at Austin	USA	23	66	31	28	51	53	29	68	37	60.17
33	Keio University	Japan	3	300	5	235+	312	249	380	280	70	60.08
34	University of Illinois at Urbana–Champaign	USA	24	24	76	22	44	45	39	79	51	59.83
35	Imperial College London	United Kingdom	4	99	72	37	19	26	19	20	29	59.40
36	École Polytechnique	France	1	101	7	184	339	301	200	296	207	59.09
37	Waseda University	Japan	4	302	8	235+	422	428	436	371	196	57.97
38	University of North Carolina at Chapel Hill	USA	25	134	74	61	32	29	17	22	30	57.40
39	École normale supérieure - Paris	France	2	10	529	69	386	160	818+	300	912+	57.30
